Statistical profiling result from isolate-0x108000000-v8.log, (10195 ticks, 81 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~GetOutputsHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:56:27
      1    0.0%    0.0%  LazyCompile: ~ECDSA.sign /Users/ryan/dev/bsv/lib/crypto/ecdsa.js:277:23
      1    0.0%    0.0%  LazyCompile: ~ECDSA.sign /Users/ryan/dev/bsv/lib/crypto/ecdsa.js:224:33
      1    0.0%    0.0%  LazyCompile: ~ECDSA._findSignature /Users/ryan/dev/bsv/lib/crypto/ecdsa.js:200:43
      1    0.0%    0.0%  LazyCompile: ~BufferWriter.writeUInt64LEBN /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:88:51
      1    0.0%    0.0%  LazyCompile: ~BufferWriter /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:6:42
      1    0.0%    0.0%  LazyCompile: ~BufferReader.set /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:34:39
      1    0.0%    0.0%  LazyCompile: ~BufferReader.readUInt64LEBN /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:102:50
      1    0.0%    0.0%  LazyCompile: ~BufferReader.read /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:46:40
      1    0.0%    0.0%  LazyCompile: ~Address._transformBuffer /Users/ryan/dev/bsv/lib/address.js:188:37
      1    0.0%    0.0%  LazyCompile: ~Address._classifyFromVersion /Users/ryan/dev/bsv/lib/address.js:162:41
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/ryan/dev/bsv/lib/transaction/sighash.js:47:32
      1    0.0%    0.0%  LazyCompile: *update internal/crypto/hash.js:52:40
      1    0.0%    0.0%  LazyCompile: *smallMulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:992:23
      1    0.0%    0.0%  LazyCompile: *slowCases internal/util.js:107:19
      1    0.0%    0.0%  LazyCompile: *point /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:275:44
      1    0.0%    0.0%  LazyCompile: *normalizeString path.js:57:25
      1    0.0%    0.0%  LazyCompile: *isubn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2168:39
      1    0.0%    0.0%  LazyCompile: *from buffer.js:199:28
      1    0.0%    0.0%  LazyCompile: *dirname path.js:1264:28
      1    0.0%    0.0%  LazyCompile: *checkNumberType internal/buffer.js:40:25
      1    0.0%    0.0%  LazyCompile: *allocate buffer.js:318:18
      1    0.0%    0.0%  LazyCompile: *alloc buffer.js:277:30
      1    0.0%    0.0%  LazyCompile: *Script.toBuffer /Users/ryan/dev/bsv/lib/script/script.js:110:38
      1    0.0%    0.0%  LazyCompile: *Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      1    0.0%    0.0%  LazyCompile: *Hash.sha256 /Users/ryan/dev/bsv/lib/crypto/hash.node.js:34:24
      1    0.0%    0.0%  LazyCompile: *BufferWriter.writeVarintNum /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:94:50
      1    0.0%    0.0%  LazyCompile: *BufferWriter /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:6:42
      1    0.0%    0.0%  LazyCompile: *BN.pad /Users/ryan/dev/bsv/lib/crypto/bn.js:242:19
      1    0.0%    0.0%  Builtin: ToObject
      1    0.0%    0.0%  Builtin: StringToLowerCaseIntl
      1    0.0%    0.0%  Builtin: StringPrototypeLastIndexOf
      1    0.0%    0.0%  Builtin: StrictEqual
      1    0.0%    0.0%  Builtin: MathImul
      1    0.0%    0.0%  Builtin: LoadIC_StringLength
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: KeyedLoadIC_PolymorphicName
      1    0.0%    0.0%  Builtin: ErrorConstructor
      1    0.0%    0.0%  Builtin: ConstructWithSpread
      1    0.0%    0.0%  Builtin: CompileLazy
      1    0.0%    0.0%  Builtin: CallWithSpread
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined

 [C++]:
   ticks  total  nonlib   name
    896    8.8%    9.1%  t __malloc_initialize
    458    4.5%    4.7%  T v8::internal::ArrayBufferTracker::ProcessBuffers(v8::internal::Page*, v8::internal::ArrayBufferTracker::ProcessingMode)
    387    3.8%    4.0%  t _tiny_malloc_should_clear
    325    3.2%    3.3%  t std::__1::__hash_table<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, std::__1::__unordered_map_hasher<v8::internal::JSArrayBuffer*, std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, v8::internal::LocalArrayBufferTracker::Hasher, true>, std::__1::__unordered_map_equal<v8::internal::JSArrayBuffer*, std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, std::__1::equal_to<v8::internal::JSArrayBuffer*>, true>, std::__1::allocator<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long> > >::__node_insert_unique(std::__1::__hash_node<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, void*>*)
    251    2.5%    2.6%  T v8::ArrayBuffer::GetContents()
    222    2.2%    2.3%  t node::Buffer::(anonymous namespace)::Copy(v8::FunctionCallbackInfo<v8::Value> const&)
    183    1.8%    1.9%  T _mmap
    160    1.6%    1.6%  t v8::internal::ArrayBufferTracker::RegisterNew(v8::internal::Heap*, v8::internal::JSArrayBuffer*)
    158    1.5%    1.6%  T v8::internal::JSArrayBuffer::Setup(v8::internal::Handle<v8::internal::JSArrayBuffer>, v8::internal::Isolate*, bool, void*, unsigned long, v8::internal::SharedFlag, bool)
    145    1.4%    1.5%  T node::crypto::Hash::HashUpdate(v8::FunctionCallbackInfo<v8::Value> const&)
    137    1.3%    1.4%  T v8::internal::Factory::InitializeJSObjectFromMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Map>)
    119    1.2%    1.2%  t _rack_init
    110    1.1%    1.1%  T v8::internal::JSTypedArray::GetBuffer()
